age,income,web_visits,prior_purch,segment,treatment,uplift_score,policy_targeted
41,35811.51433742776,24,1,E,0,0.20381214410306925,1
41,112742.46153280733,29,1,D,0,0.29915500264759304,1
23,157522.776822079,16,1,C,0,0.39910680547531213,1
45,102644.59929315843,21,1,D,1,0.3687140341769961,1
30,73198.16873216013,11,1,B,0,0.26516117069520034,1
26,37248.8674510162,23,1,D,1,0.21453549434398247,1
44,174657.14515172903,12,0,D,1,0.2451488873537535,1
29,105957.83931252842,19,1,A,0,0.3351177386695875,1
52,107259.388794097,24,0,B,0,0.23246619552912062,1
40,82770.40707700893,22,1,C,0,0.29070482706283196,1
21,123201.28124906808,28,1,B,1,0.3326875676339837,1
52,151740.95491167664,12,1,C,0,0.23406790313209752,1
20,38996.9411650129,28,1,B,0,0.2554307361701174,1
34,61029.6700493338,16,1,E,0,0.23349427472047193,1
55,67897.0650624432,27,1,E,0,0.2458851418367361,1
64,115470.730560802,5,1,B,0,0.20977685258346368,1
39,182267.3970004237,15,0,E,0,0.1994232109377292,1
39,144961.7643541176,29,0,B,1,0.29258850743603915,1
55,49142.60334007074,23,1,D,1,0.22338623887669673,1
41,51649.42772744576,21,1,D,0,0.21545634916733358,1
33,81727.56973960386,11,1,A,0,0.26787630610733926,1
20,117678.69811413856,11,1,C,0,0.3090255626596595,1
46,60340.689526237344,25,1,E,1,0.20578887670795715,1
40,136962.71463443365,12,0,E,1,0.20579418928294063,1
50,134958.5348177125,26,1,B,1,0.31296827675773997,1
57,129830.47607289263,29,1,B,1,0.21466939364936044,1
22,70919.85712554927,11,1,E,0,0.26521535542211194,1
54,119092.86312807264,12,1,A,1,0.35812811149841384,1
51,134054.347326781,12,0,C,1,0.20393407424060306,1
42,49376.06163509875,16,1,B,1,0.21265349047027804,1
55,170372.0809315655,15,0,C,0,0.3706417746976516,1
32,76935.91851144012,15,1,B,1,0.3295320454808386,1
29,90172.85469649483,15,1,D,1,0.30045215447568113,1
72,87132.89214649395,11,1,A,0,0.22609798183849827,1
70,209379.4919843033,1,0,B,0,0.2739040930887365,1
20,98616.79493078106,24,1,E,0,0.2603851718697081,1
29,183319.1797814585,20,0,A,0,0.4053045530946528,1
36,142558.97937962663,16,0,C,1,0.25985126174638573,1
27,32161.59272335064,28,1,E,0,0.1983994900742744,1
45,48977.28881822495,23,1,B,1,0.28490488828429694,1
21,122974.62330041056,25,0,D,0,0.2248037681623563,1
27,123260.34178558666,25,0,D,1,0.23482739305499842,1
50,22573.43377928288,21,1,B,1,0.21420970525376348,1
35,54401.94341485094,18,1,C,1,0.20402126030405116,1
26,178751.34820259525,14,0,A,1,0.29786130617235246,1
31,196923.14759312864,2,0,A,1,0.22061397313685835,1
52,94828.74710249614,23,1,D,1,0.29002380913475373,1
56,76817.05843409004,25,1,E,1,0.20850084404671632,1
73,236840.13128157423,13,0,D,0,0.25679703378298835,1
33,107246.37768044008,25,0,E,1,0.20520942717161622,1
26,87687.32317610887,22,1,A,0,0.2827364161039718,1
33,53663.256688392205,26,1,E,1,0.24362799184860956,1
34,131479.9702020434,16,0,C,1,0.2728761355527903,1
50,63120.106760661096,28,1,B,1,0.2540424030106175,1
29,82563.4399625374,23,1,C,0,0.2882772777266352,1
36,38548.58138067486,17,1,D,0,0.20518659009410556,1
22,93337.84257907998,17,1,E,1,0.3013003954041773,1
28,94495.42626524688,29,1,B,0,0.3131404290055273,1
37,118387.45921126934,15,0,B,1,0.288978330094517,1
30,78950.71249716252,19,1,D,0,0.28893825476308643,1
51,91179.48335640378,18,1,B,1,0.3368875290005482,1
31,46541.6906011809,28,1,E,1,0.25167791957692887,1
34,74541.66763393996,19,1,D,0,0.352889316771434,1
49,131441.17871298955,20,0,C,0,0.22104356178569057,1
31,106877.9112020088,27,0,A,0,0.2172534228782271,1
60,153914.844332455,18,0,B,0,0.23992900595929428,1
29,109403.07618596824,29,0,B,0,0.2467504957791342,1
35,40633.19744167929,17,1,C,1,0.20161685385192424,1
18,72029.69080502799,12,1,B,1,0.2853956202391711,1
43,90044.47400225961,11,1,C,1,0.2921900495451891,1
